subject_id,split,task,minute_index,window_start_sample,window_end_sample,window_start_sec,window_end_sec,symbol,target,target_minute,history_start_minute,history_end_minute,history_start_sec,prediction_time_sec,future_end_sec,history_start_sample,prediction_time_sample,future_end_sample,previous_label,current_label
a01,validation,A_detection,116.0,696000.0,702000.0,6960.0,7020.0,A,1,,,,,,,,,,,
a01,validation,A_detection,117.0,702000.0,708000.0,7020.0,7080.0,A,1,,,,,,,,,,,
a01,validation,A_detection,118.0,708000.0,714000.0,7080.0,7140.0,A,1,,,,,,,,,,,
a01,validation,A_detection,119.0,714000.0,720000.0,7140.0,7200.0,A,1,,,,,,,,,,,
a01,validation,A_detection,120.0,720000.0,726000.0,7200.0,7260.0,A,1,,,,,,,,,,,
a01,validation,A_detection,121.0,726000.0,732000.0,7260.0,7320.0,A,1,,,,,,,,,,,
a01,validation,A_detection,122.0,732000.0,738000.0,7320.0,7380.0,A,1,,,,,,,,,,,
a01,validation,A_detection,123.0,738000.0,744000.0,7380.0,7440.0,A,1,,,,,,,,,,,
a01,validation,A_detection,124.0,744000.0,750000.0,7440.0,7500.0,A,1,,,,,,,,,,,
a01,validation,A_detection,125.0,750000.0,756000.0,7500.0,7560.0,A,1,,,,,,,,,,,
a01,validation,A_detection,126.0,756000.0,762000.0,7560.0,7620.0,A,1,,,,,,,,,,,
a01,validation,A_detection,127.0,762000.0,768000.0,7620.0,7680.0,A,1,,,,,,,,,,,
a01,validation,A_detection,128.0,768000.0,774000.0,7680.0,7740.0,A,1,,,,,,,,,,,
a01,validation,A_detection,129.0,774000.0,780000.0,7740.0,7800.0,A,1,,,,,,,,,,,
a01,validation,A_detection,130.0,780000.0,786000.0,7800.0,7860.0,A,1,,,,,,,,,,,
a01,validation,A_detection,131.0,786000.0,792000.0,7860.0,7920.0,A,1,,,,,,,,,,,
a01,validation,A_detection,132.0,792000.0,798000.0,7920.0,7980.0,A,1,,,,,,,,,,,
a01,validation,A_detection,133.0,798000.0,804000.0,7980.0,8040.0,A,1,,,,,,,,,,,
a01,validation,A_detection,134.0,804000.0,810000.0,8040.0,8100.0,A,1,,,,,,,,,,,
a01,validation,A_detection,135.0,810000.0,816000.0,8100.0,8160.0,A,1,,,,,,,,,,,
a01,validation,A_detection,136.0,816000.0,822000.0,8160.0,8220.0,A,1,,,,,,,,,,,
a01,validation,A_detection,137.0,822000.0,828000.0,8220.0,8280.0,A,1,,,,,,,,,,,
a01,validation,A_detection,138.0,828000.0,834000.0,8280.0,8340.0,A,1,,,,,,,,,,,
a01,validation,A_detection,139.0,834000.0,840000.0,8340.0,8400.0,A,1,,,,,,,,,,,
a01,validation,A_detection,140.0,840000.0,846000.0,8400.0,8460.0,A,1,,,,,,,,,,,
a01,validation,A_detection,141.0,846000.0,852000.0,8460.0,8520.0,A,1,,,,,,,,,,,
a01,validation,A_detection,142.0,852000.0,858000.0,8520.0,8580.0,A,1,,,,,,,,,,,
a01,validation,A_detection,143.0,858000.0,864000.0,8580.0,8640.0,A,1,,,,,,,,,,,
a01,validation,A_detection,144.0,864000.0,870000.0,8640.0,8700.0,A,1,,,,,,,,,,,
a01,validation,A_detection,145.0,870000.0,876000.0,8700.0,8760.0,A,1,,,,,,,,,,,
a01,validation,A_detection,146.0,876000.0,882000.0,8760.0,8820.0,A,1,,,,,,,,,,,
a01,validation,A_detection,147.0,882000.0,888000.0,8820.0,8880.0,A,1,,,,,,,,,,,
a01,validation,A_detection,148.0,888000.0,894000.0,8880.0,8940.0,A,1,,,,,,,,,,,
a01,validation,A_detection,149.0,894000.0,900000.0,8940.0,9000.0,A,1,,,,,,,,,,,
a01,validation,A_detection,150.0,900000.0,906000.0,9000.0,9060.0,A,1,,,,,,,,,,,
a01,validation,A_detection,151.0,906000.0,912000.0,9060.0,9120.0,A,1,,,,,,,,,,,
a01,validation,A_detection,152.0,912000.0,918000.0,9120.0,9180.0,A,1,,,,,,,,,,,
a01,validation,A_detection,153.0,918000.0,924000.0,9180.0,9240.0,A,1,,,,,,,,,,,
a01,validation,A_detection,154.0,924000.0,930000.0,9240.0,9300.0,A,1,,,,,,,,,,,
a01,validation,A_detection,155.0,930000.0,936000.0,9300.0,9360.0,A,1,,,,,,,,,,,
a01,validation,A_detection,156.0,936000.0,942000.0,9360.0,9420.0,A,1,,,,,,,,,,,
a01,validation,A_detection,157.0,942000.0,948000.0,9420.0,9480.0,A,1,,,,,,,,,,,
a01,validation,A_detection,158.0,948000.0,954000.0,9480.0,9540.0,A,1,,,,,,,,,,,
a01,validation,A_detection,159.0,954000.0,960000.0,9540.0,9600.0,A,1,,,,,,,,,,,
a01,validation,A_detection,160.0,960000.0,966000.0,9600.0,9660.0,A,1,,,,,,,,,,,
a01,validation,A_detection,161.0,966000.0,972000.0,9660.0,9720.0,A,1,,,,,,,,,,,
a01,validation,A_detection,162.0,972000.0,978000.0,9720.0,9780.0,A,1,,,,,,,,,,,
a01,validation,A_detection,163.0,978000.0,984000.0,9780.0,9840.0,A,1,,,,,,,,,,,
a01,validation,A_detection,164.0,984000.0,990000.0,9840.0,9900.0,A,1,,,,,,,,,,,
a01,validation,A_detection,165.0,990000.0,996000.0,9900.0,9960.0,A,1,,,,,,,,,,,
a01,validation,A_detection,166.0,996000.0,1002000.0,9960.0,10020.0,A,1,,,,,,,,,,,
a01,validation,A_detection,167.0,1002000.0,1008000.0,10020.0,10080.0,A,1,,,,,,,,,,,
a01,validation,A_detection,168.0,1008000.0,1014000.0,10080.0,10140.0,A,1,,,,,,,,,,,
a01,validation,A_detection,169.0,1014000.0,1020000.0,10140.0,10200.0,A,1,,,,,,,,,,,
a01,validation,A_detection,170.0,1020000.0,1026000.0,10200.0,10260.0,A,1,,,,,,,,,,,
a01,validation,A_detection,171.0,1026000.0,1032000.0,10260.0,10320.0,A,1,,,,,,,,,,,
a01,validation,A_detection,172.0,1032000.0,1038000.0,10320.0,10380.0,A,1,,,,,,,,,,,
a01,validation,A_detection,173.0,1038000.0,1044000.0,10380.0,10440.0,A,1,,,,,,,,,,,
a01,validation,A_detection,174.0,1044000.0,1050000.0,10440.0,10500.0,A,1,,,,,,,,,,,
a01,validation,A_detection,175.0,1050000.0,1056000.0,10500.0,10560.0,A,1,,,,,,,,,,,
a01,validation,A_detection,176.0,1056000.0,1062000.0,10560.0,10620.0,A,1,,,,,,,,,,,
a01,validation,A_detection,177.0,1062000.0,1068000.0,10620.0,10680.0,A,1,,,,,,,,,,,
a01,validation,A_detection,178.0,1068000.0,1074000.0,10680.0,10740.0,A,1,,,,,,,,,,,
a01,validation,A_detection,179.0,1074000.0,1080000.0,10740.0,10800.0,A,1,,,,,,,,,,,
a01,validation,A_detection,180.0,1080000.0,1086000.0,10800.0,10860.0,A,1,,,,,,,,,,,
a01,validation,A_detection,181.0,1086000.0,1092000.0,10860.0,10920.0,A,1,,,,,,,,,,,
a01,validation,A_detection,182.0,1092000.0,1098000.0,10920.0,10980.0,A,1,,,,,,,,,,,
a01,validation,A_detection,183.0,1098000.0,1104000.0,10980.0,11040.0,A,1,,,,,,,,,,,
a01,validation,A_detection,184.0,1104000.0,1110000.0,11040.0,11100.0,A,1,,,,,,,,,,,
a01,validation,A_detection,185.0,1110000.0,1116000.0,11100.0,11160.0,A,1,,,,,,,,,,,
a01,validation,A_detection,186.0,1116000.0,1122000.0,11160.0,11220.0,A,1,,,,,,,,,,,
a01,validation,A_detection,187.0,1122000.0,1128000.0,11220.0,11280.0,A,1,,,,,,,,,,,
a01,validation,A_detection,188.0,1128000.0,1134000.0,11280.0,11340.0,A,1,,,,,,,,,,,
a01,validation,A_detection,189.0,1134000.0,1140000.0,11340.0,11400.0,A,1,,,,,,,,,,,
a01,validation,A_detection,190.0,1140000.0,1146000.0,11400.0,11460.0,A,1,,,,,,,,,,,
a01,validation,A_detection,191.0,1146000.0,1152000.0,11460.0,11520.0,A,1,,,,,,,,,,,
a01,validation,A_detection,192.0,1152000.0,1158000.0,11520.0,11580.0,A,1,,,,,,,,,,,
a01,validation,A_detection,193.0,1158000.0,1164000.0,11580.0,11640.0,A,1,,,,,,,,,,,
a01,validation,A_detection,194.0,1164000.0,1170000.0,11640.0,11700.0,A,1,,,,,,,,,,,
a01,validation,A_detection,195.0,1170000.0,1176000.0,11700.0,11760.0,A,1,,,,,,,,,,,
a01,validation,A_detection,196.0,1176000.0,1182000.0,11760.0,11820.0,A,1,,,,,,,,,,,
a01,validation,A_detection,197.0,1182000.0,1188000.0,11820.0,11880.0,A,1,,,,,,,,,,,
a01,validation,A_detection,198.0,1188000.0,1194000.0,11880.0,11940.0,A,1,,,,,,,,,,,
a01,validation,A_detection,199.0,1194000.0,1200000.0,11940.0,12000.0,A,1,,,,,,,,,,,
a01,validation,A_detection,200.0,1200000.0,1206000.0,12000.0,12060.0,A,1,,,,,,,,,,,
a01,validation,A_detection,201.0,1206000.0,1212000.0,12060.0,12120.0,A,1,,,,,,,,,,,
a01,validation,A_detection,202.0,1212000.0,1218000.0,12120.0,12180.0,A,1,,,,,,,,,,,
a01,validation,A_detection,203.0,1218000.0,1224000.0,12180.0,12240.0,A,1,,,,,,,,,,,
a01,validation,A_detection,204.0,1224000.0,1230000.0,12240.0,12300.0,A,1,,,,,,,,,,,
a01,validation,A_detection,205.0,1230000.0,1236000.0,12300.0,12360.0,A,1,,,,,,,,,,,
a01,validation,A_detection,206.0,1236000.0,1242000.0,12360.0,12420.0,A,1,,,,,,,,,,,
a01,validation,A_detection,207.0,1242000.0,1248000.0,12420.0,12480.0,A,1,,,,,,,,,,,
a01,validation,A_detection,208.0,1248000.0,1254000.0,12480.0,12540.0,A,1,,,,,,,,,,,
a01,validation,A_detection,209.0,1254000.0,1260000.0,12540.0,12600.0,A,1,,,,,,,,,,,
a01,validation,A_detection,210.0,1260000.0,1266000.0,12600.0,12660.0,A,1,,,,,,,,,,,
a01,validation,A_detection,211.0,1266000.0,1272000.0,12660.0,12720.0,A,1,,,,,,,,,,,
a01,validation,A_detection,212.0,1272000.0,1278000.0,12720.0,12780.0,A,1,,,,,,,,,,,
a01,validation,A_detection,213.0,1278000.0,1284000.0,12780.0,12840.0,A,1,,,,,,,,,,,
a01,validation,A_detection,214.0,1284000.0,1290000.0,12840.0,12900.0,A,1,,,,,,,,,,,
a01,validation,A_detection,215.0,1290000.0,1296000.0,12900.0,12960.0,A,1,,,,,,,,,,,
a01,validation,A_detection,216.0,1296000.0,1302000.0,12960.0,13020.0,A,1,,,,,,,,,,,
a01,validation,A_detection,217.0,1302000.0,1308000.0,13020.0,13080.0,A,1,,,,,,,,,,,
a01,validation,A_detection,218.0,1308000.0,1314000.0,13080.0,13140.0,A,1,,,,,,,,,,,
a01,validation,A_detection,219.0,1314000.0,1320000.0,13140.0,13200.0,A,1,,,,,,,,,,,
a01,validation,A_detection,220.0,1320000.0,1326000.0,13200.0,13260.0,A,1,,,,,,,,,,,
a01,validation,A_detection,221.0,1326000.0,1332000.0,13260.0,13320.0,A,1,,,,,,,,,,,
a01,validation,A_detection,222.0,1332000.0,1338000.0,13320.0,13380.0,A,1,,,,,,,,,,,
a01,validation,A_detection,223.0,1338000.0,1344000.0,13380.0,13440.0,A,1,,,,,,,,,,,
a01,validation,A_detection,224.0,1344000.0,1350000.0,13440.0,13500.0,A,1,,,,,,,,,,,
a01,validation,A_detection,225.0,1350000.0,1356000.0,13500.0,13560.0,A,1,,,,,,,,,,,
a01,validation,A_detection,226.0,1356000.0,1362000.0,13560.0,13620.0,A,1,,,,,,,,,,,
a01,validation,A_detection,227.0,1362000.0,1368000.0,13620.0,13680.0,N,0,,,,,,,,,,,
a01,validation,A_detection,228.0,1368000.0,1374000.0,13680.0,13740.0,N,0,,,,,,,,,,,
a01,validation,A_detection,229.0,1374000.0,1380000.0,13740.0,13800.0,N,0,,,,,,,,,,,
a01,validation,A_detection,230.0,1380000.0,1386000.0,13800.0,13860.0,N,0,,,,,,,,,,,
a01,validation,A_detection,231.0,1386000.0,1392000.0,13860.0,13920.0,A,1,,,,,,,,,,,
a01,validation,A_detection,232.0,1392000.0,1398000.0,13920.0,13980.0,A,1,,,,,,,,,,,
a01,validation,A_detection,233.0,1398000.0,1404000.0,13980.0,14040.0,A,1,,,,,,,,,,,
a01,validation,A_detection,234.0,1404000.0,1410000.0,14040.0,14100.0,A,1,,,,,,,,,,,
a01,validation,A_detection,235.0,1410000.0,1416000.0,14100.0,14160.0,A,1,,,,,,,,,,,
a01,validation,A_detection,236.0,1416000.0,1422000.0,14160.0,14220.0,A,1,,,,,,,,,,,
a01,validation,A_detection,237.0,1422000.0,1428000.0,14220.0,14280.0,A,1,,,,,,,,,,,
a01,validation,A_detection,238.0,1428000.0,1434000.0,14280.0,14340.0,A,1,,,,,,,,,,,
a01,validation,A_detection,239.0,1434000.0,1440000.0,14340.0,14400.0,A,1,,,,,,,,,,,
a01,validation,A_detection,240.0,1440000.0,1446000.0,14400.0,14460.0,A,1,,,,,,,,,,,
a01,validation,A_detection,241.0,1446000.0,1452000.0,14460.0,14520.0,A,1,,,,,,,,,,,
a01,validation,A_detection,242.0,1452000.0,1458000.0,14520.0,14580.0,A,1,,,,,,,,,,,
a01,validation,A_detection,243.0,1458000.0,1464000.0,14580.0,14640.0,A,1,,,,,,,,,,,
a01,validation,A_detection,244.0,1464000.0,1470000.0,14640.0,14700.0,A,1,,,,,,,,,,,
a01,validation,A_detection,245.0,1470000.0,1476000.0,14700.0,14760.0,A,1,,,,,,,,,,,
a01,validation,A_detection,246.0,1476000.0,1482000.0,14760.0,14820.0,A,1,,,,,,,,,,,
a01,validation,A_detection,247.0,1482000.0,1488000.0,14820.0,14880.0,A,1,,,,,,,,,,,
a01,validation,A_detection,248.0,1488000.0,1494000.0,14880.0,14940.0,A,1,,,,,,,,,,,
a01,validation,A_detection,249.0,1494000.0,1500000.0,14940.0,15000.0,A,1,,,,,,,,,,,
a01,validation,A_detection,250.0,1500000.0,1506000.0,15000.0,15060.0,A,1,,,,,,,,,,,
a01,validation,A_detection,251.0,1506000.0,1512000.0,15060.0,15120.0,A,1,,,,,,,,,,,
a01,validation,A_detection,252.0,1512000.0,1518000.0,15120.0,15180.0,A,1,,,,,,,,,,,
a01,validation,A_detection,253.0,1518000.0,1524000.0,15180.0,15240.0,A,1,,,,,,,,,,,
a01,validation,A_detection,254.0,1524000.0,1530000.0,15240.0,15300.0,A,1,,,,,,,,,,,
a01,validation,A_detection,255.0,1530000.0,1536000.0,15300.0,15360.0,A,1,,,,,,,,,,,
a01,validation,A_detection,256.0,1536000.0,1542000.0,15360.0,15420.0,A,1,,,,,,,,,,,
a01,validation,A_detection,257.0,1542000.0,1548000.0,15420.0,15480.0,A,1,,,,,,,,,,,
a01,validation,A_detection,258.0,1548000.0,1554000.0,15480.0,15540.0,A,1,,,,,,,,,,,
a01,validation,A_detection,259.0,1554000.0,1560000.0,15540.0,15600.0,A,1,,,,,,,,,,,
a01,validation,A_detection,260.0,1560000.0,1566000.0,15600.0,15660.0,A,1,,,,,,,,,,,
a01,validation,A_detection,261.0,1566000.0,1572000.0,15660.0,15720.0,A,1,,,,,,,,,,,
a01,validation,A_detection,262.0,1572000.0,1578000.0,15720.0,15780.0,A,1,,,,,,,,,,,
a01,validation,A_detection,263.0,1578000.0,1584000.0,15780.0,15840.0,A,1,,,,,,,,,,,
a01,validation,A_detection,264.0,1584000.0,1590000.0,15840.0,15900.0,A,1,,,,,,,,,,,
a01,validation,A_detection,265.0,1590000.0,1596000.0,15900.0,15960.0,A,1,,,,,,,,,,,
a01,validation,A_detection,266.0,1596000.0,1602000.0,15960.0,16020.0,A,1,,,,,,,,,,,
a01,validation,A_detection,267.0,1602000.0,1608000.0,16020.0,16080.0,A,1,,,,,,,,,,,
a01,validation,A_detection,268.0,1608000.0,1614000.0,16080.0,16140.0,A,1,,,,,,,,,,,
a01,validation,A_detection,269.0,1614000.0,1620000.0,16140.0,16200.0,A,1,,,,,,,,,,,
a01,validation,A_detection,270.0,1620000.0,1626000.0,16200.0,16260.0,A,1,,,,,,,,,,,
