subject_id,minute_index,annotation_sample,annotation_time_sec,annotation_time_min,symbol,label,expected_window_start_sample,expected_window_end_sample
a01,106,636000,6360.0,106.0,A,1,636000,642000
a01,107,642000,6420.0,107.0,A,1,642000,648000
a01,108,648000,6480.0,108.0,A,1,648000,654000
a01,109,654000,6540.0,109.0,A,1,654000,660000
a01,110,660000,6600.0,110.0,A,1,660000,666000
a01,111,666000,6660.0,111.0,A,1,666000,672000
a01,112,672000,6720.0,112.0,A,1,672000,678000
a01,113,678000,6780.0,113.0,A,1,678000,684000
a01,114,684000,6840.0,114.0,A,1,684000,690000
a01,115,690000,6900.0,115.0,A,1,690000,696000
a01,116,696000,6960.0,116.0,A,1,696000,702000
a01,117,702000,7020.0,117.0,A,1,702000,708000
a01,118,708000,7080.0,118.0,A,1,708000,714000
a01,119,714000,7140.0,119.0,A,1,714000,720000
a01,120,720000,7200.0,120.0,A,1,720000,726000
a01,121,726000,7260.0,121.0,A,1,726000,732000
a01,122,732000,7320.0,122.0,A,1,732000,738000
a01,123,738000,7380.0,123.0,A,1,738000,744000
a01,124,744000,7440.0,124.0,A,1,744000,750000
a01,125,750000,7500.0,125.0,A,1,750000,756000
a01,126,756000,7560.0,126.0,A,1,756000,762000
a01,127,762000,7620.0,127.0,A,1,762000,768000
a01,128,768000,7680.0,128.0,A,1,768000,774000
a01,129,774000,7740.0,129.0,A,1,774000,780000
a01,130,780000,7800.0,130.0,A,1,780000,786000
a01,131,786000,7860.0,131.0,A,1,786000,792000
a01,132,792000,7920.0,132.0,A,1,792000,798000
a01,133,798000,7980.0,133.0,A,1,798000,804000
a01,134,804000,8040.0,134.0,A,1,804000,810000
a01,135,810000,8100.0,135.0,A,1,810000,816000
a01,136,816000,8160.0,136.0,A,1,816000,822000
a01,137,822000,8220.0,137.0,A,1,822000,828000
a01,138,828000,8280.0,138.0,A,1,828000,834000
a01,139,834000,8340.0,139.0,A,1,834000,840000
a01,140,840000,8400.0,140.0,A,1,840000,846000
a01,141,846000,8460.0,141.0,A,1,846000,852000
a01,142,852000,8520.0,142.0,A,1,852000,858000
a01,143,858000,8580.0,143.0,A,1,858000,864000
a01,144,864000,8640.0,144.0,A,1,864000,870000
a01,145,870000,8700.0,145.0,A,1,870000,876000
a01,146,876000,8760.0,146.0,A,1,876000,882000
a01,147,882000,8820.0,147.0,A,1,882000,888000
a01,148,888000,8880.0,148.0,A,1,888000,894000
a01,149,894000,8940.0,149.0,A,1,894000,900000
a01,150,900000,9000.0,150.0,A,1,900000,906000
a01,151,906000,9060.0,151.0,A,1,906000,912000
a01,152,912000,9120.0,152.0,A,1,912000,918000
a01,153,918000,9180.0,153.0,A,1,918000,924000
a01,154,924000,9240.0,154.0,A,1,924000,930000
a01,155,930000,9300.0,155.0,A,1,930000,936000
a01,156,936000,9360.0,156.0,A,1,936000,942000
a01,157,942000,9420.0,157.0,A,1,942000,948000
a01,158,948000,9480.0,158.0,A,1,948000,954000
a01,159,954000,9540.0,159.0,A,1,954000,960000
a01,160,960000,9600.0,160.0,A,1,960000,966000
a01,161,966000,9660.0,161.0,A,1,966000,972000
a01,162,972000,9720.0,162.0,A,1,972000,978000
a01,163,978000,9780.0,163.0,A,1,978000,984000
a01,164,984000,9840.0,164.0,A,1,984000,990000
a01,165,990000,9900.0,165.0,A,1,990000,996000
a01,166,996000,9960.0,166.0,A,1,996000,1002000
a01,167,1002000,10020.0,167.0,A,1,1002000,1008000
a01,168,1008000,10080.0,168.0,A,1,1008000,1014000
a01,169,1014000,10140.0,169.0,A,1,1014000,1020000
a01,170,1020000,10200.0,170.0,A,1,1020000,1026000
a01,171,1026000,10260.0,171.0,A,1,1026000,1032000
a01,172,1032000,10320.0,172.0,A,1,1032000,1038000
a01,173,1038000,10380.0,173.0,A,1,1038000,1044000
a01,174,1044000,10440.0,174.0,A,1,1044000,1050000
a01,175,1050000,10500.0,175.0,A,1,1050000,1056000
a01,176,1056000,10560.0,176.0,A,1,1056000,1062000
a01,177,1062000,10620.0,177.0,A,1,1062000,1068000
a01,178,1068000,10680.0,178.0,A,1,1068000,1074000
a01,179,1074000,10740.0,179.0,A,1,1074000,1080000
a01,180,1080000,10800.0,180.0,A,1,1080000,1086000
a01,181,1086000,10860.0,181.0,A,1,1086000,1092000
a01,182,1092000,10920.0,182.0,A,1,1092000,1098000
a01,183,1098000,10980.0,183.0,A,1,1098000,1104000
a01,184,1104000,11040.0,184.0,A,1,1104000,1110000
a01,185,1110000,11100.0,185.0,A,1,1110000,1116000
a01,186,1116000,11160.0,186.0,A,1,1116000,1122000
a01,187,1122000,11220.0,187.0,A,1,1122000,1128000
a01,188,1128000,11280.0,188.0,A,1,1128000,1134000
a01,189,1134000,11340.0,189.0,A,1,1134000,1140000
a01,190,1140000,11400.0,190.0,A,1,1140000,1146000
a01,191,1146000,11460.0,191.0,A,1,1146000,1152000
a01,192,1152000,11520.0,192.0,A,1,1152000,1158000
a01,193,1158000,11580.0,193.0,A,1,1158000,1164000
a01,194,1164000,11640.0,194.0,A,1,1164000,1170000
a01,195,1170000,11700.0,195.0,A,1,1170000,1176000
a01,196,1176000,11760.0,196.0,A,1,1176000,1182000
a01,197,1182000,11820.0,197.0,A,1,1182000,1188000
a01,198,1188000,11880.0,198.0,A,1,1188000,1194000
a01,199,1194000,11940.0,199.0,A,1,1194000,1200000
a01,200,1200000,12000.0,200.0,A,1,1200000,1206000
a01,201,1206000,12060.0,201.0,A,1,1206000,1212000
a01,202,1212000,12120.0,202.0,A,1,1212000,1218000
a01,203,1218000,12180.0,203.0,A,1,1218000,1224000
a01,204,1224000,12240.0,204.0,A,1,1224000,1230000
a01,205,1230000,12300.0,205.0,A,1,1230000,1236000
a01,206,1236000,12360.0,206.0,A,1,1236000,1242000
a01,207,1242000,12420.0,207.0,A,1,1242000,1248000
a01,208,1248000,12480.0,208.0,A,1,1248000,1254000
a01,209,1254000,12540.0,209.0,A,1,1254000,1260000
a01,210,1260000,12600.0,210.0,A,1,1260000,1266000
a01,211,1266000,12660.0,211.0,A,1,1266000,1272000
a01,212,1272000,12720.0,212.0,A,1,1272000,1278000
a01,213,1278000,12780.0,213.0,A,1,1278000,1284000
a01,214,1284000,12840.0,214.0,A,1,1284000,1290000
a01,215,1290000,12900.0,215.0,A,1,1290000,1296000
a01,216,1296000,12960.0,216.0,A,1,1296000,1302000
a01,217,1302000,13020.0,217.0,A,1,1302000,1308000
a01,218,1308000,13080.0,218.0,A,1,1308000,1314000
a01,219,1314000,13140.0,219.0,A,1,1314000,1320000
a01,220,1320000,13200.0,220.0,A,1,1320000,1326000
a01,221,1326000,13260.0,221.0,A,1,1326000,1332000
a01,222,1332000,13320.0,222.0,A,1,1332000,1338000
a01,223,1338000,13380.0,223.0,A,1,1338000,1344000
a01,224,1344000,13440.0,224.0,A,1,1344000,1350000
a01,225,1350000,13500.0,225.0,A,1,1350000,1356000
a01,226,1356000,13560.0,226.0,A,1,1356000,1362000
a01,227,1362000,13620.0,227.0,N,0,1362000,1368000
a01,228,1368000,13680.0,228.0,N,0,1368000,1374000
a01,229,1374000,13740.0,229.0,N,0,1374000,1380000
a01,230,1380000,13800.0,230.0,N,0,1380000,1386000
a01,231,1386000,13860.0,231.0,A,1,1386000,1392000
a01,232,1392000,13920.0,232.0,A,1,1392000,1398000
a01,233,1398000,13980.0,233.0,A,1,1398000,1404000
a01,234,1404000,14040.0,234.0,A,1,1404000,1410000
a01,235,1410000,14100.0,235.0,A,1,1410000,1416000
a01,236,1416000,14160.0,236.0,A,1,1416000,1422000
a01,237,1422000,14220.0,237.0,A,1,1422000,1428000
a01,238,1428000,14280.0,238.0,A,1,1428000,1434000
a01,239,1434000,14340.0,239.0,A,1,1434000,1440000
a01,240,1440000,14400.0,240.0,A,1,1440000,1446000
a01,241,1446000,14460.0,241.0,A,1,1446000,1452000
a01,242,1452000,14520.0,242.0,A,1,1452000,1458000
a01,243,1458000,14580.0,243.0,A,1,1458000,1464000
a01,244,1464000,14640.0,244.0,A,1,1464000,1470000
a01,245,1470000,14700.0,245.0,A,1,1470000,1476000
a01,246,1476000,14760.0,246.0,A,1,1476000,1482000
a01,247,1482000,14820.0,247.0,A,1,1482000,1488000
a01,248,1488000,14880.0,248.0,A,1,1488000,1494000
a01,249,1494000,14940.0,249.0,A,1,1494000,1500000
a01,250,1500000,15000.0,250.0,A,1,1500000,1506000
a01,251,1506000,15060.0,251.0,A,1,1506000,1512000
a01,252,1512000,15120.0,252.0,A,1,1512000,1518000
a01,253,1518000,15180.0,253.0,A,1,1518000,1524000
a01,254,1524000,15240.0,254.0,A,1,1524000,1530000
a01,255,1530000,15300.0,255.0,A,1,1530000,1536000
a01,256,1536000,15360.0,256.0,A,1,1536000,1542000
a01,257,1542000,15420.0,257.0,A,1,1542000,1548000
a01,258,1548000,15480.0,258.0,A,1,1548000,1554000
a01,259,1554000,15540.0,259.0,A,1,1554000,1560000
a01,260,1560000,15600.0,260.0,A,1,1560000,1566000
a01,261,1566000,15660.0,261.0,A,1,1566000,1572000
a01,262,1572000,15720.0,262.0,A,1,1572000,1578000
a01,263,1578000,15780.0,263.0,A,1,1578000,1584000
a01,264,1584000,15840.0,264.0,A,1,1584000,1590000
a01,265,1590000,15900.0,265.0,A,1,1590000,1596000
a01,266,1596000,15960.0,266.0,A,1,1596000,1602000
a01,267,1602000,16020.0,267.0,A,1,1602000,1608000
a01,268,1608000,16080.0,268.0,A,1,1608000,1614000
a01,269,1614000,16140.0,269.0,A,1,1614000,1620000
a01,270,1620000,16200.0,270.0,A,1,1620000,1626000
a01,271,1626000,16260.0,271.0,A,1,1626000,1632000
a01,272,1632000,16320.0,272.0,A,1,1632000,1638000
a01,273,1638000,16380.0,273.0,A,1,1638000,1644000
a01,274,1644000,16440.0,274.0,A,1,1644000,1650000
a01,275,1650000,16500.0,275.0,A,1,1650000,1656000
a01,276,1656000,16560.0,276.0,A,1,1656000,1662000
a01,277,1662000,16620.0,277.0,A,1,1662000,1668000
a01,278,1668000,16680.0,278.0,A,1,1668000,1674000
a01,279,1674000,16740.0,279.0,A,1,1674000,1680000
a01,280,1680000,16800.0,280.0,A,1,1680000,1686000
a01,281,1686000,16860.0,281.0,A,1,1686000,1692000
a01,282,1692000,16920.0,282.0,A,1,1692000,1698000
a01,283,1698000,16980.0,283.0,A,1,1698000,1704000
a01,284,1704000,17040.0,284.0,A,1,1704000,1710000
a01,285,1710000,17100.0,285.0,A,1,1710000,1716000
a01,286,1716000,17160.0,286.0,A,1,1716000,1722000
a01,287,1722000,17220.0,287.0,A,1,1722000,1728000
a01,288,1728000,17280.0,288.0,A,1,1728000,1734000
a01,289,1734000,17340.0,289.0,A,1,1734000,1740000
a01,290,1740000,17400.0,290.0,A,1,1740000,1746000
a01,291,1746000,17460.0,291.0,A,1,1746000,1752000
a01,292,1752000,17520.0,292.0,A,1,1752000,1758000
a01,293,1758000,17580.0,293.0,A,1,1758000,1764000
a01,294,1764000,17640.0,294.0,A,1,1764000,1770000
a01,295,1770000,17700.0,295.0,A,1,1770000,1776000
a01,296,1776000,17760.0,296.0,A,1,1776000,1782000
a01,297,1782000,17820.0,297.0,A,1,1782000,1788000
a01,298,1788000,17880.0,298.0,A,1,1788000,1794000
a01,299,1794000,17940.0,299.0,A,1,1794000,1800000
a01,300,1800000,18000.0,300.0,A,1,1800000,1806000
a01,301,1806000,18060.0,301.0,A,1,1806000,1812000
a01,302,1812000,18120.0,302.0,A,1,1812000,1818000
a01,303,1818000,18180.0,303.0,A,1,1818000,1824000
a01,304,1824000,18240.0,304.0,A,1,1824000,1830000
a01,305,1830000,18300.0,305.0,A,1,1830000,1836000
a01,306,1836000,18360.0,306.0,A,1,1836000,1842000
a01,307,1842000,18420.0,307.0,A,1,1842000,1848000
a01,308,1848000,18480.0,308.0,A,1,1848000,1854000
a01,309,1854000,18540.0,309.0,A,1,1854000,1860000
a01,310,1860000,18600.0,310.0,A,1,1860000,1866000
a01,311,1866000,18660.0,311.0,A,1,1866000,1872000
a01,312,1872000,18720.0,312.0,A,1,1872000,1878000
a01,313,1878000,18780.0,313.0,A,1,1878000,1884000
a01,314,1884000,18840.0,314.0,A,1,1884000,1890000
a01,315,1890000,18900.0,315.0,A,1,1890000,1896000
a01,316,1896000,18960.0,316.0,A,1,1896000,1902000
a01,317,1902000,19020.0,317.0,A,1,1902000,1908000
a01,318,1908000,19080.0,318.0,A,1,1908000,1914000
a01,319,1914000,19140.0,319.0,A,1,1914000,1920000
a01,320,1920000,19200.0,320.0,A,1,1920000,1926000
a01,321,1926000,19260.0,321.0,A,1,1926000,1932000
a01,322,1932000,19320.0,322.0,A,1,1932000,1938000
a01,323,1938000,19380.0,323.0,A,1,1938000,1944000
a01,324,1944000,19440.0,324.0,A,1,1944000,1950000
a01,325,1950000,19500.0,325.0,A,1,1950000,1956000
a01,326,1956000,19560.0,326.0,A,1,1956000,1962000
a01,327,1962000,19620.0,327.0,A,1,1962000,1968000
a01,328,1968000,19680.0,328.0,A,1,1968000,1974000
a01,329,1974000,19740.0,329.0,A,1,1974000,1980000
a01,330,1980000,19800.0,330.0,A,1,1980000,1986000
a01,331,1986000,19860.0,331.0,A,1,1986000,1992000
a01,332,1992000,19920.0,332.0,A,1,1992000,1998000
a01,333,1998000,19980.0,333.0,A,1,1998000,2004000
a01,334,2004000,20040.0,334.0,A,1,2004000,2010000
a01,335,2010000,20100.0,335.0,A,1,2010000,2016000
a01,336,2016000,20160.0,336.0,A,1,2016000,2022000
a01,337,2022000,20220.0,337.0,A,1,2022000,2028000
a01,338,2028000,20280.0,338.0,A,1,2028000,2034000
a01,339,2034000,20340.0,339.0,A,1,2034000,2040000
a01,340,2040000,20400.0,340.0,A,1,2040000,2046000
a01,341,2046000,20460.0,341.0,A,1,2046000,2052000
a01,342,2052000,20520.0,342.0,A,1,2052000,2058000
a01,343,2058000,20580.0,343.0,A,1,2058000,2064000
a01,344,2064000,20640.0,344.0,A,1,2064000,2070000
a01,345,2070000,20700.0,345.0,A,1,2070000,2076000
a01,346,2076000,20760.0,346.0,A,1,2076000,2082000
a01,347,2082000,20820.0,347.0,A,1,2082000,2088000
a01,348,2088000,20880.0,348.0,A,1,2088000,2094000
a01,349,2094000,20940.0,349.0,A,1,2094000,2100000
a01,350,2100000,21000.0,350.0,A,1,2100000,2106000
a01,351,2106000,21060.0,351.0,A,1,2106000,2112000
a01,352,2112000,21120.0,352.0,N,0,2112000,2118000
a01,353,2118000,21180.0,353.0,N,0,2118000,2124000
a01,354,2124000,21240.0,354.0,A,1,2124000,2130000
a01,355,2130000,21300.0,355.0,A,1,2130000,2136000
a01,356,2136000,21360.0,356.0,A,1,2136000,2142000
a01,357,2142000,21420.0,357.0,A,1,2142000,2148000
a01,358,2148000,21480.0,358.0,A,1,2148000,2154000
a01,359,2154000,21540.0,359.0,A,1,2154000,2160000
a01,360,2160000,21600.0,360.0,A,1,2160000,2166000
a01,361,2166000,21660.0,361.0,A,1,2166000,2172000
a01,362,2172000,21720.0,362.0,A,1,2172000,2178000
a01,363,2178000,21780.0,363.0,A,1,2178000,2184000
a01,364,2184000,21840.0,364.0,A,1,2184000,2190000
a01,365,2190000,21900.0,365.0,A,1,2190000,2196000
a01,366,2196000,21960.0,366.0,A,1,2196000,2202000
a01,367,2202000,22020.0,367.0,A,1,2202000,2208000
a01,368,2208000,22080.0,368.0,A,1,2208000,2214000
a01,369,2214000,22140.0,369.0,A,1,2214000,2220000
a01,370,2220000,22200.0,370.0,A,1,2220000,2226000
a01,371,2226000,22260.0,371.0,A,1,2226000,2232000
a01,372,2232000,22320.0,372.0,A,1,2232000,2238000
a01,373,2238000,22380.0,373.0,A,1,2238000,2244000
a01,374,2244000,22440.0,374.0,A,1,2244000,2250000
a01,375,2250000,22500.0,375.0,A,1,2250000,2256000
a01,376,2256000,22560.0,376.0,A,1,2256000,2262000
a01,377,2262000,22620.0,377.0,A,1,2262000,2268000
a01,378,2268000,22680.0,378.0,A,1,2268000,2274000
a01,379,2274000,22740.0,379.0,A,1,2274000,2280000
a01,380,2280000,22800.0,380.0,A,1,2280000,2286000
a01,381,2286000,22860.0,381.0,A,1,2286000,2292000
a01,382,2292000,22920.0,382.0,A,1,2292000,2298000
a01,383,2298000,22980.0,383.0,A,1,2298000,2304000
a01,384,2304000,23040.0,384.0,A,1,2304000,2310000
a01,385,2310000,23100.0,385.0,A,1,2310000,2316000
a01,386,2316000,23160.0,386.0,A,1,2316000,2322000
a01,387,2322000,23220.0,387.0,A,1,2322000,2328000
a01,388,2328000,23280.0,388.0,A,1,2328000,2334000
a01,389,2334000,23340.0,389.0,A,1,2334000,2340000
a01,390,2340000,23400.0,390.0,A,1,2340000,2346000
a01,391,2346000,23460.0,391.0,A,1,2346000,2352000
a01,392,2352000,23520.0,392.0,A,1,2352000,2358000
a01,393,2358000,23580.0,393.0,A,1,2358000,2364000
a01,394,2364000,23640.0,394.0,A,1,2364000,2370000
a01,395,2370000,23700.0,395.0,A,1,2370000,2376000
a01,396,2376000,23760.0,396.0,A,1,2376000,2382000
a01,397,2382000,23820.0,397.0,A,1,2382000,2388000
a01,398,2388000,23880.0,398.0,A,1,2388000,2394000
a01,399,2394000,23940.0,399.0,A,1,2394000,2400000
a01,400,2400000,24000.0,400.0,A,1,2400000,2406000
a01,401,2406000,24060.0,401.0,A,1,2406000,2412000
a01,402,2412000,24120.0,402.0,A,1,2412000,2418000
a01,403,2418000,24180.0,403.0,A,1,2418000,2424000
a01,404,2424000,24240.0,404.0,A,1,2424000,2430000
a01,405,2430000,24300.0,405.0,A,1,2430000,2436000
a01,406,2436000,24360.0,406.0,A,1,2436000,2442000
a01,407,2442000,24420.0,407.0,A,1,2442000,2448000
a01,408,2448000,24480.0,408.0,A,1,2448000,2454000
a01,409,2454000,24540.0,409.0,A,1,2454000,2460000
a01,410,2460000,24600.0,410.0,A,1,2460000,2466000
a01,411,2466000,24660.0,411.0,A,1,2466000,2472000
a01,412,2472000,24720.0,412.0,A,1,2472000,2478000
a01,413,2478000,24780.0,413.0,A,1,2478000,2484000
a01,414,2484000,24840.0,414.0,A,1,2484000,2490000
a01,415,2490000,24900.0,415.0,A,1,2490000,2496000
a01,416,2496000,24960.0,416.0,A,1,2496000,2502000
a01,417,2502000,25020.0,417.0,A,1,2502000,2508000
a01,418,2508000,25080.0,418.0,A,1,2508000,2514000
a01,419,2514000,25140.0,419.0,A,1,2514000,2520000
a01,420,2520000,25200.0,420.0,A,1,2520000,2526000
a01,421,2526000,25260.0,421.0,A,1,2526000,2532000
a01,422,2532000,25320.0,422.0,A,1,2532000,2538000
a01,423,2538000,25380.0,423.0,A,1,2538000,2544000
a01,424,2544000,25440.0,424.0,A,1,2544000,2550000
a01,425,2550000,25500.0,425.0,A,1,2550000,2556000
a01,426,2556000,25560.0,426.0,A,1,2556000,2562000
a01,427,2562000,25620.0,427.0,A,1,2562000,2568000
a01,428,2568000,25680.0,428.0,A,1,2568000,2574000
a01,429,2574000,25740.0,429.0,A,1,2574000,2580000
a01,430,2580000,25800.0,430.0,A,1,2580000,2586000
a01,431,2586000,25860.0,431.0,A,1,2586000,2592000
a01,432,2592000,25920.0,432.0,A,1,2592000,2598000
a01,433,2598000,25980.0,433.0,A,1,2598000,2604000
a01,434,2604000,26040.0,434.0,A,1,2604000,2610000
a01,435,2610000,26100.0,435.0,A,1,2610000,2616000
a01,436,2616000,26160.0,436.0,A,1,2616000,2622000
a01,437,2622000,26220.0,437.0,A,1,2622000,2628000
a01,438,2628000,26280.0,438.0,A,1,2628000,2634000
a01,439,2634000,26340.0,439.0,A,1,2634000,2640000
a01,440,2640000,26400.0,440.0,A,1,2640000,2646000
a01,441,2646000,26460.0,441.0,A,1,2646000,2652000
a01,442,2652000,26520.0,442.0,A,1,2652000,2658000
a01,443,2658000,26580.0,443.0,A,1,2658000,2664000
a01,444,2664000,26640.0,444.0,A,1,2664000,2670000
a01,445,2670000,26700.0,445.0,A,1,2670000,2676000
a01,446,2676000,26760.0,446.0,A,1,2676000,2682000
a01,447,2682000,26820.0,447.0,A,1,2682000,2688000
a01,448,2688000,26880.0,448.0,A,1,2688000,2694000
a01,449,2694000,26940.0,449.0,A,1,2694000,2700000
a01,450,2700000,27000.0,450.0,A,1,2700000,2706000
a01,451,2706000,27060.0,451.0,A,1,2706000,2712000
a01,452,2712000,27120.0,452.0,A,1,2712000,2718000
a01,453,2718000,27180.0,453.0,A,1,2718000,2724000
a01,454,2724000,27240.0,454.0,A,1,2724000,2730000
a01,455,2730000,27300.0,455.0,A,1,2730000,2736000
a01,456,2736000,27360.0,456.0,A,1,2736000,2742000
a01,457,2742000,27420.0,457.0,A,1,2742000,2748000
a01,458,2748000,27480.0,458.0,A,1,2748000,2754000
a01,459,2754000,27540.0,459.0,A,1,2754000,2760000
a01,460,2760000,27600.0,460.0,A,1,2760000,2766000
a01,461,2766000,27660.0,461.0,A,1,2766000,2772000
a01,462,2772000,27720.0,462.0,A,1,2772000,2778000
a01,463,2778000,27780.0,463.0,A,1,2778000,2784000
a01,464,2784000,27840.0,464.0,A,1,2784000,2790000
a01,465,2790000,27900.0,465.0,A,1,2790000,2796000
a01,466,2796000,27960.0,466.0,A,1,2796000,2802000
a01,467,2802000,28020.0,467.0,A,1,2802000,2808000
a01,468,2808000,28080.0,468.0,A,1,2808000,2814000
a01,469,2814000,28140.0,469.0,A,1,2814000,2820000
a01,470,2820000,28200.0,470.0,A,1,2820000,2826000
a01,471,2826000,28260.0,471.0,A,1,2826000,2832000
a01,472,2832000,28320.0,472.0,A,1,2832000,2838000
a01,473,2838000,28380.0,473.0,A,1,2838000,2844000
a01,474,2844000,28440.0,474.0,A,1,2844000,2850000
a01,475,2850000,28500.0,475.0,A,1,2850000,2856000
a01,476,2856000,28560.0,476.0,A,1,2856000,2862000
a01,477,2862000,28620.0,477.0,A,1,2862000,2868000
a01,478,2868000,28680.0,478.0,A,1,2868000,2874000
